DEBUG DECODER CONFIG: dict_keys(['fusion_dim', 'cond_dim', 'fusion_heads', 'fusion_layers', 'dropout'])
DEBUG DIMS: sem=768, pro=768, spk=768, fusion=768
DEBUG CROSS_FUSION INIT: sem=768, pro=768
SIREN V8 VQ-VAE (autoresearch)
  config: /home/sperm/siren/SIREN/src/ultra_low_bitrate_codec/configs/ultra58bps_16k.yaml
  TIME_BUDGET: 300s (wall after step 10)
  train wavs: 5700, val wavs: 299
  device: cuda, amp=True, accum=1

step 00001 (0.0%) | loss: 20.9485 | dt: 52173ms | epoch: 0 | rem: 300s 
step 00002 (0.0%) | loss: 21.6910 | dt: 1113ms | epoch: 0 | rem: 300s 
step 00003 (0.0%) | loss: 21.9906 | dt: 845ms | epoch: 0 | rem: 300s 
step 00004 (0.0%) | loss: 21.9364 | dt: 813ms | epoch: 0 | rem: 300s 
step 00005 (0.0%) | loss: 21.6654 | dt: 813ms | epoch: 0 | rem: 300s 
step 00006 (0.0%) | loss: 21.6885 | dt: 834ms | epoch: 0 | rem: 300s 
step 00007 (0.0%) | loss: 21.7055 | dt: 807ms | epoch: 0 | rem: 300s 
step 00008 (0.0%) | loss: 21.5269 | dt: 816ms | epoch: 0 | rem: 300s 
step 00009 (0.0%) | loss: 21.5176 | dt: 836ms | epoch: 0 | rem: 300s 
step 00010 (0.0%) | loss: 21.4166 | dt: 830ms | epoch: 0 | rem: 300s 
step 00011 (0.0%) | loss: 21.2688 | dt: 801ms | epoch: 0 | rem: 300s 
step 00012 (0.3%) | loss: 21.3016 | dt: 825ms | epoch: 0 | rem: 299s 
step 00013 (0.5%) | loss: 21.1753 | dt: 810ms | epoch: 0 | rem: 298s 
step 00014 (0.8%) | loss: 21.4057 | dt: 841ms | epoch: 0 | rem: 298s 
step 00015 (1.1%) | loss: 21.3466 | dt: 796ms | epoch: 0 | rem: 297s 
step 00016 (1.4%) | loss: 21.2260 | dt: 832ms | epoch: 0 | rem: 296s 
step 00017 (1.6%) | loss: 21.0532 | dt: 821ms | epoch: 0 | rem: 295s 
step 00018 (1.9%) | loss: 20.8544 | dt: 834ms | epoch: 0 | rem: 294s 
step 00019 (2.2%) | loss: 20.5658 | dt: 828ms | epoch: 0 | rem: 293s 
step 00020 (2.5%) | loss: 20.3397 | dt: 826ms | epoch: 0 | rem: 293s 
step 00021 (2.7%) | loss: 20.0272 | dt: 834ms | epoch: 0 | rem: 292s 
step 00022 (3.0%) | loss: 19.6726 | dt: 818ms | epoch: 0 | rem: 291s 
step 00023 (3.3%) | loss: 19.3852 | dt: 839ms | epoch: 0 | rem: 290s 
step 00024 (3.6%) | loss: 19.0780 | dt: 845ms | epoch: 0 | rem: 289s 
step 00025 (3.9%) | loss: 18.7998 | dt: 835ms | epoch: 0 | rem: 288s 
step 00026 (4.1%) | loss: 18.5300 | dt: 853ms | epoch: 0 | rem: 288s 
step 00027 (4.4%) | loss: 18.3571 | dt: 863ms | epoch: 0 | rem: 287s 
step 00028 (4.7%) | loss: 18.2203 | dt: 837ms | epoch: 0 | rem: 286s 
