DEBUG DECODER CONFIG: dict_keys(['fusion_dim', 'cond_dim', 'fusion_heads', 'fusion_layers', 'dropout'])
DEBUG DIMS: sem=768, pro=768, spk=768, fusion=768
DEBUG CROSS_FUSION INIT: sem=768, pro=768
SIREN V8 VQ-VAE (autoresearch)
  config: /home/sperm/siren/autoresearch-siren/config_exp11.yaml
  TIME_BUDGET: 300s (wall after step 10)
  train wavs: 5700, val wavs: 299
  device: cuda, amp=True, accum=1

step 00001 (0.0%) | loss: 14.1016 | dt: 46926ms | epoch: 0 | rem: 300s 
step 00002 (0.0%) | loss: 13.6852 | dt: 973ms | epoch: 0 | rem: 300s 
step 00003 (0.0%) | loss: 13.1315 | dt: 752ms | epoch: 0 | rem: 300s 
step 00004 (0.0%) | loss: 13.2226 | dt: 726ms | epoch: 0 | rem: 300s 
step 00005 (0.0%) | loss: 13.1887 | dt: 732ms | epoch: 0 | rem: 300s 
step 00006 (0.0%) | loss: 13.0022 | dt: 716ms | epoch: 0 | rem: 300s 
step 00007 (0.0%) | loss: 13.0411 | dt: 721ms | epoch: 0 | rem: 300s 
step 00008 (0.0%) | loss: 12.6903 | dt: 736ms | epoch: 0 | rem: 300s 
step 00009 (0.0%) | loss: 12.5042 | dt: 723ms | epoch: 0 | rem: 300s 
step 00010 (0.0%) | loss: 12.3337 | dt: 720ms | epoch: 0 | rem: 300s 
step 00011 (0.0%) | loss: 12.2736 | dt: 718ms | epoch: 0 | rem: 300s 
step 00012 (0.2%) | loss: 12.0155 | dt: 703ms | epoch: 0 | rem: 299s 
step 00013 (0.5%) | loss: 12.2377 | dt: 707ms | epoch: 0 | rem: 299s 
step 00014 (0.7%) | loss: 11.9638 | dt: 717ms | epoch: 0 | rem: 298s 
step 00015 (1.0%) | loss: 11.3148 | dt: 736ms | epoch: 0 | rem: 297s 
step 00016 (1.2%) | loss: 10.4224 | dt: 734ms | epoch: 0 | rem: 296s 
step 00017 (1.4%) | loss: 9.4542 | dt: 720ms | epoch: 0 | rem: 296s 
step 00018 (1.7%) | loss: 8.5550 | dt: 731ms | epoch: 0 | rem: 295s 
step 00019 (1.9%) | loss: 7.7546 | dt: 723ms | epoch: 0 | rem: 294s 
step 00020 (2.2%) | loss: 7.0472 | dt: 742ms | epoch: 0 | rem: 293s 
step 00021 (2.4%) | loss: 6.4304 | dt: 734ms | epoch: 0 | rem: 293s 
step 00022 (2.7%) | loss: 5.8351 | dt: 766ms | epoch: 0 | rem: 292s 
step 00023 (2.9%) | loss: 5.3249 | dt: 761ms | epoch: 0 | rem: 291s 
step 00024 (3.2%) | loss: 4.9160 | dt: 780ms | epoch: 0 | rem: 290s 
step 00025 (3.4%) | loss: 4.5443 | dt: 749ms | epoch: 0 | rem: 290s 
step 00026 (3.7%) | loss: 4.2197 | dt: 775ms | epoch: 0 | rem: 289s 
step 00027 (3.9%) | loss: 3.9632 | dt: 735ms | epoch: 0 | rem: 288s 
step 00028 (4.2%) | loss: 3.7842 | dt: 779ms | epoch: 0 | rem: 287s 
step 00029 (4.4%) | loss: 3.5954 | dt: 753ms | epoch: 0 | rem: 287s 
step 00030 (4.7%) | loss: 3.4106 | dt: 770ms | epoch: 0 | rem: 286s 
step 00031 (5.0%) | loss: 3.2473 | dt: 776ms | epoch: 0 | rem: 285s 
step 00032 (5.2%) | loss: 3.1198 | dt: 758ms | epoch: 0 | rem: 284s 
step 00033 (5.5%) | loss: 2.9380 | dt: 753ms | epoch: 0 | rem: 284s 
step 00034 (5.7%) | loss: 2.8227 | dt: 762ms | epoch: 0 | rem: 283s 
step 00035 (6.0%) | loss: 2.6917 | dt: 749ms | epoch: 0 | rem: 282s 
step 00036 (6.2%) | loss: 2.5445 | dt: 769ms | epoch: 0 | rem: 281s 
step 00037 (6.5%) | loss: 2.4363 | dt: 759ms | epoch: 0 | rem: 281s 
step 00038 (6.7%) | loss: 2.3450 | dt: 771ms | epoch: 0 | rem: 280s 
step 00039 (7.0%) | loss: 2.3127 | dt: 764ms | epoch: 0 | rem: 279s 
step 00040 (7.2%) | loss: 2.2345 | dt: 766ms | epoch: 0 | rem: 278s 
step 00041 (7.5%) | loss: 2.1397 | dt: 774ms | epoch: 0 | rem: 277s 
step 00042 (7.8%) | loss: 2.0558 | dt: 782ms | epoch: 0 | rem: 277s 
step 00043 (8.0%) | loss: 2.0183 | dt: 750ms | epoch: 0 | rem: 276s 
step 00044 (8.3%) | loss: 1.9610 | dt: 769ms | epoch: 0 | rem: 275s 
step 00045 (8.5%) | loss: 1.9310 | dt: 760ms | epoch: 0 | rem: 274s 
step 00046 (8.8%) | loss: 1.8778 | dt: 750ms | epoch: 0 | rem: 274s 
step 00047 (9.0%) | loss: 1.8354 | dt: 777ms | epoch: 0 | rem: 273s 
step 00048 (9.3%) | loss: 1.7805 | dt: 757ms | epoch: 0 | rem: 272s 
step 00049 (9.5%) | loss: 1.7297 | dt: 755ms | epoch: 0 | rem: 271s 
step 00050 (9.8%) | loss: 1.7189 | dt: 733ms | epoch: 0 | rem: 271s 
step 00051 (10.0%) | loss: 1.6649 | dt: 788ms | epoch: 0 | rem: 270s 
step 00052 (10.3%) | loss: 1.6194 | dt: 747ms | epoch: 0 | rem: 269s 
step 00053 (10.6%) | loss: 1.5751 | dt: 768ms | epoch: 0 | rem: 268s 
step 00054 (10.8%) | loss: 1.5654 | dt: 740ms | epoch: 0 | rem: 268s 
step 00055 (11.0%) | loss: 1.5022 | dt: 737ms | epoch: 0 | rem: 267s 
step 00056 (11.3%) | loss: 1.4679 | dt: 756ms | epoch: 0 | rem: 266s 
step 00057 (11.6%) | loss: 1.4498 | dt: 777ms | epoch: 0 | rem: 265s 
step 00058 (11.8%) | loss: 1.4374 | dt: 759ms | epoch: 0 | rem: 265s 
step 00059 (12.1%) | loss: 1.4137 | dt: 757ms | epoch: 0 | rem: 264s 
step 00060 (12.3%) | loss: 1.3929 | dt: 740ms | epoch: 0 | rem: 263s 
step 00061 (12.6%) | loss: 1.3656 | dt: 735ms | epoch: 0 | rem: 262s 
step 00062 (12.8%) | loss: 1.3660 | dt: 758ms | epoch: 0 | rem: 262s 
step 00063 (13.1%) | loss: 1.3594 | dt: 747ms | epoch: 0 | rem: 261s 
step 00064 (13.3%) | loss: 1.3111 | dt: 741ms | epoch: 0 | rem: 260s 
step 00065 (13.5%) | loss: 1.2798 | dt: 737ms | epoch: 0 | rem: 259s 
step 00066 (13.8%) | loss: 1.2452 | dt: 725ms | epoch: 0 | rem: 259s 
step 00067 (14.0%) | loss: 1.2093 | dt: 751ms | epoch: 0 | rem: 258s 
