Simplified VQ-VAE (autoresearch)
  latent_dim: 64, num_codes: 512
  TIME_BUDGET: 300s (wall after step 10)
  train wavs: 5700, val wavs: 299
  device: cuda, amp=True

step 00001 (0.0%) | loss: 0.3908 | recon: 0.2024 | vq: 0.1791 | H: 5.35 | dt: 5847ms | rem: 300s 
step 00002 (0.0%) | loss: 0.3910 | recon: 0.2023 | vq: 0.1792 | H: 5.26 | dt: 171ms | rem: 300s 
step 00003 (0.0%) | loss: 0.3907 | recon: 0.2020 | vq: 0.1789 | H: 5.34 | dt: 69ms | rem: 300s 
step 00004 (0.0%) | loss: 0.3911 | recon: 0.2022 | vq: 0.1801 | H: 5.26 | dt: 75ms | rem: 300s 
step 00005 (0.0%) | loss: 0.3911 | recon: 0.2028 | vq: 0.1790 | H: 5.29 | dt: 74ms | rem: 300s 
step 00006 (0.0%) | loss: 0.3917 | recon: 0.2026 | vq: 0.1814 | H: 5.22 | dt: 80ms | rem: 300s 
step 00007 (0.0%) | loss: 0.3916 | recon: 0.2023 | vq: 0.1792 | H: 5.27 | dt: 75ms | rem: 300s 
step 00008 (0.0%) | loss: 0.3917 | recon: 0.2024 | vq: 0.1800 | H: 5.27 | dt: 75ms | rem: 300s 
step 00009 (0.0%) | loss: 0.3916 | recon: 0.2023 | vq: 0.1795 | H: 5.33 | dt: 74ms | rem: 300s 
step 00010 (0.0%) | loss: 0.3918 | recon: 0.2025 | vq: 0.1806 | H: 5.27 | dt: 78ms | rem: 300s 
step 00011 (0.0%) | loss: 0.3917 | recon: 0.2020 | vq: 0.1791 | H: 5.22 | dt: 76ms | rem: 300s 
step 00012 (0.0%) | loss: 0.3915 | recon: 0.2020 | vq: 0.1794 | H: 5.33 | dt: 74ms | rem: 300s 
step 00013 (0.1%) | loss: 0.3914 | recon: 0.2021 | vq: 0.1788 | H: 5.29 | dt: 103ms | rem: 300s 
step 00014 (0.1%) | loss: 0.3911 | recon: 0.2015 | vq: 0.1780 | H: 5.36 | dt: 94ms | rem: 300s 
step 00015 (0.1%) | loss: 0.3911 | recon: 0.2016 | vq: 0.1796 | H: 5.20 | dt: 81ms | rem: 300s 
step 00016 (0.1%) | loss: 0.3909 | recon: 0.2006 | vq: 0.1793 | H: 5.32 | dt: 78ms | rem: 300s 
step 00017 (0.2%) | loss: 0.3905 | recon: 0.1997 | vq: 0.1787 | H: 5.32 | dt: 76ms | rem: 299s 
step 00018 (0.2%) | loss: 0.3903 | recon: 0.1989 | vq: 0.1798 | H: 5.23 | dt: 78ms | rem: 299s 
step 00019 (0.2%) | loss: 0.3895 | recon: 0.1978 | vq: 0.1770 | H: 5.39 | dt: 80ms | rem: 299s 
step 00020 (0.2%) | loss: 0.3885 | recon: 0.1961 | vq: 0.1751 | H: 5.38 | dt: 71ms | rem: 299s 
step 00021 (0.3%) | loss: 0.3876 | recon: 0.1953 | vq: 0.1758 | H: 5.30 | dt: 74ms | rem: 299s 
step 00022 (0.3%) | loss: 0.3866 | recon: 0.1936 | vq: 0.1754 | H: 5.35 | dt: 75ms | rem: 299s 
step 00023 (0.3%) | loss: 0.3856 | recon: 0.1926 | vq: 0.1751 | H: 5.27 | dt: 75ms | rem: 299s 
step 00024 (0.3%) | loss: 0.3845 | recon: 0.1910 | vq: 0.1754 | H: 5.22 | dt: 78ms | rem: 299s 
step 00025 (0.4%) | loss: 0.3831 | recon: 0.1886 | vq: 0.1740 | H: 5.40 | dt: 92ms | rem: 299s 
step 00026 (0.4%) | loss: 0.3815 | recon: 0.1865 | vq: 0.1720 | H: 5.37 | dt: 90ms | rem: 299s 
step 00027 (0.4%) | loss: 0.3799 | recon: 0.1848 | vq: 0.1725 | H: 5.35 | dt: 85ms | rem: 299s 
step 00028 (0.5%) | loss: 0.3779 | recon: 0.1820 | vq: 0.1704 | H: 5.43 | dt: 83ms | rem: 299s 
step 00029 (0.5%) | loss: 0.3762 | recon: 0.1800 | vq: 0.1719 | H: 5.33 | dt: 79ms | rem: 299s 
step 00030 (0.5%) | loss: 0.3744 | recon: 0.1774 | vq: 0.1722 | H: 5.27 | dt: 79ms | rem: 298s 
step 00031 (0.5%) | loss: 0.3727 | recon: 0.1751 | vq: 0.1733 | H: 5.25 | dt: 80ms | rem: 298s 
step 00032 (0.6%) | loss: 0.3706 | recon: 0.1722 | vq: 0.1702 | H: 5.22 | dt: 78ms | rem: 298s 
step 00033 (0.6%) | loss: 0.3687 | recon: 0.1697 | vq: 0.1721 | H: 5.11 | dt: 77ms | rem: 298s 
step 00034 (0.6%) | loss: 0.3666 | recon: 0.1669 | vq: 0.1705 | H: 5.14 | dt: 77ms | rem: 298s 
step 00035 (0.6%) | loss: 0.3643 | recon: 0.1640 | vq: 0.1700 | H: 5.06 | dt: 78ms | rem: 298s 
step 00036 (0.7%) | loss: 0.3625 | recon: 0.1611 | vq: 0.1736 | H: 4.91 | dt: 85ms | rem: 298s 
step 00037 (0.7%) | loss: 0.3606 | recon: 0.1587 | vq: 0.1739 | H: 4.80 | dt: 84ms | rem: 298s 
step 00038 (0.7%) | loss: 0.3586 | recon: 0.1551 | vq: 0.1737 | H: 4.85 | dt: 86ms | rem: 298s 
step 00039 (0.8%) | loss: 0.3567 | recon: 0.1522 | vq: 0.1757 | H: 4.86 | dt: 85ms | rem: 298s 
step 00040 (0.8%) | loss: 0.3550 | recon: 0.1495 | vq: 0.1776 | H: 4.64 | dt: 80ms | rem: 298s 
step 00041 (0.8%) | loss: 0.3531 | recon: 0.1458 | vq: 0.1782 | H: 4.61 | dt: 77ms | rem: 298s 
step 00042 (0.8%) | loss: 0.3517 | recon: 0.1430 | vq: 0.1823 | H: 4.54 | dt: 78ms | rem: 297s 
step 00043 (0.9%) | loss: 0.3500 | recon: 0.1392 | vq: 0.1829 | H: 4.51 | dt: 78ms | rem: 297s 
step 00044 (0.9%) | loss: 0.3490 | recon: 0.1369 | vq: 0.1887 | H: 4.36 | dt: 79ms | rem: 297s 
step 00045 (0.9%) | loss: 0.3477 | recon: 0.1331 | vq: 0.1893 | H: 4.40 | dt: 76ms | rem: 297s 
step 00046 (0.9%) | loss: 0.3468 | recon: 0.1305 | vq: 0.1937 | H: 4.27 | dt: 78ms | rem: 297s 
step 00047 (1.0%) | loss: 0.3464 | recon: 0.1274 | vq: 0.2000 | H: 4.11 | dt: 82ms | rem: 297s 
step 00048 (1.0%) | loss: 0.3458 | recon: 0.1235 | vq: 0.2011 | H: 4.14 | dt: 77ms | rem: 297s 
step 00049 (1.0%) | loss: 0.3456 | recon: 0.1206 | vq: 0.2074 | H: 4.03 | dt: 83ms | rem: 297s 
step 00050 (1.0%) | loss: 0.3458 | recon: 0.1177 | vq: 0.2133 | H: 3.86 | dt: 88ms | rem: 297s 
step 00051 (1.1%) | loss: 0.3462 | recon: 0.1146 | vq: 0.2183 | H: 3.84 | dt: 79ms | rem: 297s 
step 00052 (1.1%) | loss: 0.3474 | recon: 0.1122 | vq: 0.2274 | H: 3.56 | dt: 85ms | rem: 297s 
step 00053 (1.1%) | loss: 0.3485 | recon: 0.1088 | vq: 0.2320 | H: 3.54 | dt: 82ms | rem: 297s 
step 00054 (1.2%) | loss: 0.3499 | recon: 0.1053 | vq: 0.2385 | H: 3.57 | dt: 75ms | rem: 297s 
step 00055 (1.2%) | loss: 0.3517 | recon: 0.1024 | vq: 0.2461 | H: 3.36 | dt: 80ms | rem: 296s 
step 00056 (1.2%) | loss: 0.3539 | recon: 0.0993 | vq: 0.2552 | H: 3.40 | dt: 80ms | rem: 296s 
step 00057 (1.2%) | loss: 0.3566 | recon: 0.0967 | vq: 0.2640 | H: 3.20 | dt: 77ms | rem: 296s 
step 00058 (1.3%) | loss: 0.3597 | recon: 0.0940 | vq: 0.2736 | H: 3.16 | dt: 75ms | rem: 296s 
step 00059 (1.3%) | loss: 0.3631 | recon: 0.0913 | vq: 0.2816 | H: 3.03 | dt: 82ms | rem: 296s 
step 00060 (1.3%) | loss: 0.3667 | recon: 0.0887 | vq: 0.2892 | H: 2.91 | dt: 77ms | rem: 296s 
step 00061 (1.3%) | loss: 0.3708 | recon: 0.0859 | vq: 0.3004 | H: 2.95 | dt: 82ms | rem: 296s 
step 00062 (1.4%) | loss: 0.3749 | recon: 0.0834 | vq: 0.3066 | H: 2.95 | dt: 89ms | rem: 296s 
step 00063 (1.4%) | loss: 0.3796 | recon: 0.0816 | vq: 0.3187 | H: 2.89 | dt: 84ms | rem: 296s 
step 00064 (1.4%) | loss: 0.3842 | recon: 0.0791 | vq: 0.3244 | H: 2.82 | dt: 82ms | rem: 296s 
step 00065 (1.5%) | loss: 0.3894 | recon: 0.0775 | vq: 0.3361 | H: 2.71 | dt: 86ms | rem: 296s 
step 00066 (1.5%) | loss: 0.3943 | recon: 0.0742 | vq: 0.3425 | H: 2.87 | dt: 77ms | rem: 296s 
step 00067 (1.5%) | loss: 0.3992 | recon: 0.0737 | vq: 0.3477 | H: 2.75 | dt: 83ms | rem: 295s 
step 00068 (1.5%) | loss: 0.4039 | recon: 0.0725 | vq: 0.3527 | H: 2.88 | dt: 77ms | rem: 295s 
step 00069 (1.6%) | loss: 0.4086 | recon: 0.0710 | vq: 0.3585 | H: 2.91 | dt: 82ms | rem: 295s 
step 00070 (1.6%) | loss: 0.4132 | recon: 0.0688 | vq: 0.3637 | H: 2.94 | dt: 78ms | rem: 295s 
step 00071 (1.6%) | loss: 0.4174 | recon: 0.0674 | vq: 0.3666 | H: 2.98 | dt: 80ms | rem: 295s 
step 00072 (1.6%) | loss: 0.4211 | recon: 0.0656 | vq: 0.3691 | H: 3.16 | dt: 78ms | rem: 295s 
step 00073 (1.7%) | loss: 0.4248 | recon: 0.0656 | vq: 0.3725 | H: 3.13 | dt: 88ms | rem: 295s 
step 00074 (1.7%) | loss: 0.4283 | recon: 0.0640 | vq: 0.3754 | H: 3.20 | dt: 82ms | rem: 295s 
step 00075 (1.7%) | loss: 0.4313 | recon: 0.0625 | vq: 0.3765 | H: 3.26 | dt: 83ms | rem: 295s 
step 00076 (1.8%) | loss: 0.4339 | recon: 0.0625 | vq: 0.3753 | H: 3.36 | dt: 82ms | rem: 295s 
step 00077 (1.8%) | loss: 0.4361 | recon: 0.0616 | vq: 0.3755 | H: 3.45 | dt: 78ms | rem: 295s 
step 00078 (1.8%) | loss: 0.4381 | recon: 0.0612 | vq: 0.3760 | H: 3.42 | dt: 82ms | rem: 295s 
step 00079 (1.8%) | loss: 0.4395 | recon: 0.0604 | vq: 0.3726 | H: 3.46 | dt: 81ms | rem: 295s 
step 00080 (1.9%) | loss: 0.4406 | recon: 0.0592 | vq: 0.3731 | H: 3.48 | dt: 80ms | rem: 294s 
step 00081 (1.9%) | loss: 0.4418 | recon: 0.0589 | vq: 0.3751 | H: 3.44 | dt: 77ms | rem: 294s 
