Improved VQ-VAE with branches (autoresearch)
  sem_dim=128, pro_dim=64, spk_dim=256
  num_codes=1024, entropy_weight=1.0
  TIME_BUDGET: 300s (wall after step 10)
  train wavs: 5700, val wavs: 299
  device: cuda, amp=True

step 00001 (0.0%) | loss: 18.5938 | recon: 0.2204 | vq: 0.8020 | H: 5.05 | dt: 5690ms | rem: 300s 
step 00002 (0.0%) | loss: 18.6610 | recon: 0.2199 | vq: 0.7995 | H: 5.02 | dt: 179ms | rem: 300s 
step 00003 (0.0%) | loss: 18.6251 | recon: 0.2202 | vq: 0.8024 | H: 5.09 | dt: 74ms | rem: 300s 
step 00004 (0.0%) | loss: 18.5593 | recon: 0.2199 | vq: 0.8005 | H: 5.10 | dt: 81ms | rem: 300s 
step 00005 (0.0%) | loss: 18.6921 | recon: 0.2202 | vq: 0.7999 | H: 5.04 | dt: 84ms | rem: 300s 
step 00006 (0.0%) | loss: 18.6852 | recon: 0.2205 | vq: 0.8014 | H: 5.08 | dt: 79ms | rem: 300s 
step 00007 (0.0%) | loss: 18.6825 | recon: 0.2201 | vq: 0.8015 | H: 5.08 | dt: 80ms | rem: 300s 
step 00008 (0.0%) | loss: 18.7422 | recon: 0.2200 | vq: 0.8017 | H: 5.09 | dt: 79ms | rem: 300s 
step 00009 (0.0%) | loss: 18.7132 | recon: 0.2203 | vq: 0.7975 | H: 5.09 | dt: 78ms | rem: 300s 
step 00010 (0.0%) | loss: 18.6585 | recon: 0.2201 | vq: 0.7996 | H: 5.09 | dt: 80ms | rem: 300s 
step 00011 (0.0%) | loss: 18.6718 | recon: 0.2200 | vq: 0.8019 | H: 5.03 | dt: 79ms | rem: 300s 
step 00012 (0.0%) | loss: 18.7751 | recon: 0.2200 | vq: 0.8039 | H: 4.99 | dt: 85ms | rem: 300s 
step 00013 (0.1%) | loss: 18.8008 | recon: 0.2204 | vq: 0.8018 | H: 5.07 | dt: 109ms | rem: 300s 
step 00014 (0.1%) | loss: 18.7654 | recon: 0.2197 | vq: 0.7974 | H: 5.10 | dt: 83ms | rem: 300s 
step 00015 (0.1%) | loss: 18.7649 | recon: 0.2192 | vq: 0.7991 | H: 5.11 | dt: 84ms | rem: 300s 
step 00016 (0.1%) | loss: 18.7900 | recon: 0.2180 | vq: 0.7994 | H: 5.05 | dt: 82ms | rem: 300s 
step 00017 (0.2%) | loss: 18.8225 | recon: 0.2178 | vq: 0.7951 | H: 5.03 | dt: 78ms | rem: 299s 
step 00018 (0.2%) | loss: 18.8591 | recon: 0.2165 | vq: 0.7950 | H: 4.99 | dt: 83ms | rem: 299s 
step 00019 (0.2%) | loss: 18.9171 | recon: 0.2151 | vq: 0.7938 | H: 4.94 | dt: 79ms | rem: 299s 
step 00020 (0.3%) | loss: 18.9370 | recon: 0.2144 | vq: 0.7902 | H: 4.98 | dt: 78ms | rem: 299s 
step 00021 (0.3%) | loss: 18.9805 | recon: 0.2121 | vq: 0.7936 | H: 4.95 | dt: 80ms | rem: 299s 
step 00022 (0.3%) | loss: 19.0244 | recon: 0.2105 | vq: 0.7910 | H: 4.98 | dt: 80ms | rem: 299s 
step 00023 (0.3%) | loss: 19.0760 | recon: 0.2088 | vq: 0.7893 | H: 4.91 | dt: 84ms | rem: 299s 
step 00024 (0.4%) | loss: 19.1396 | recon: 0.2073 | vq: 0.7871 | H: 4.88 | dt: 94ms | rem: 299s 
step 00025 (0.4%) | loss: 19.2398 | recon: 0.2050 | vq: 0.7814 | H: 4.80 | dt: 85ms | rem: 299s 
step 00026 (0.4%) | loss: 19.3165 | recon: 0.2031 | vq: 0.7825 | H: 4.85 | dt: 88ms | rem: 299s 
step 00027 (0.5%) | loss: 19.4681 | recon: 0.2005 | vq: 0.7826 | H: 4.75 | dt: 83ms | rem: 299s 
step 00028 (0.5%) | loss: 19.6395 | recon: 0.1979 | vq: 0.7766 | H: 4.70 | dt: 81ms | rem: 299s 
step 00029 (0.5%) | loss: 19.8098 | recon: 0.1955 | vq: 0.7737 | H: 4.66 | dt: 80ms | rem: 298s 
step 00030 (0.5%) | loss: 19.9250 | recon: 0.1928 | vq: 0.7768 | H: 4.65 | dt: 79ms | rem: 298s 
step 00031 (0.6%) | loss: 20.0274 | recon: 0.1901 | vq: 0.7739 | H: 4.62 | dt: 81ms | rem: 298s 
step 00032 (0.6%) | loss: 20.1561 | recon: 0.1871 | vq: 0.7730 | H: 4.57 | dt: 78ms | rem: 298s 
step 00033 (0.6%) | loss: 20.3493 | recon: 0.1838 | vq: 0.7725 | H: 4.42 | dt: 78ms | rem: 298s 
step 00034 (0.6%) | loss: 20.6025 | recon: 0.1813 | vq: 0.7701 | H: 4.35 | dt: 83ms | rem: 298s 
step 00035 (0.7%) | loss: 20.8343 | recon: 0.1779 | vq: 0.7711 | H: 4.30 | dt: 91ms | rem: 298s 
step 00036 (0.7%) | loss: 21.0872 | recon: 0.1750 | vq: 0.7692 | H: 4.22 | dt: 84ms | rem: 298s 
step 00037 (0.7%) | loss: 21.3488 | recon: 0.1714 | vq: 0.7710 | H: 4.15 | dt: 88ms | rem: 298s 
step 00038 (0.8%) | loss: 21.6817 | recon: 0.1681 | vq: 0.7724 | H: 4.02 | dt: 86ms | rem: 298s 
step 00039 (0.8%) | loss: 21.9736 | recon: 0.1647 | vq: 0.7757 | H: 3.95 | dt: 82ms | rem: 298s 
step 00040 (0.8%) | loss: 22.3058 | recon: 0.1611 | vq: 0.7754 | H: 3.86 | dt: 82ms | rem: 298s 
step 00041 (0.8%) | loss: 22.6805 | recon: 0.1573 | vq: 0.7780 | H: 3.75 | dt: 79ms | rem: 297s 
step 00042 (0.9%) | loss: 23.0519 | recon: 0.1539 | vq: 0.7795 | H: 3.69 | dt: 81ms | rem: 297s 
step 00043 (0.9%) | loss: 23.4014 | recon: 0.1502 | vq: 0.7854 | H: 3.67 | dt: 80ms | rem: 297s 
step 00044 (0.9%) | loss: 23.7414 | recon: 0.1465 | vq: 0.7893 | H: 3.60 | dt: 80ms | rem: 297s 
step 00045 (0.9%) | loss: 24.0642 | recon: 0.1431 | vq: 0.7942 | H: 3.57 | dt: 81ms | rem: 297s 
step 00046 (1.0%) | loss: 24.4425 | recon: 0.1396 | vq: 0.7984 | H: 3.47 | dt: 86ms | rem: 297s 
step 00047 (1.0%) | loss: 24.7449 | recon: 0.1354 | vq: 0.8068 | H: 3.46 | dt: 90ms | rem: 297s 
step 00048 (1.0%) | loss: 25.1041 | recon: 0.1321 | vq: 0.8099 | H: 3.37 | dt: 86ms | rem: 297s 
