DEBUG DECODER CONFIG: dict_keys(['fusion_dim', 'cond_dim', 'fusion_heads', 'fusion_layers', 'dropout'])
DEBUG DIMS: sem=768, pro=768, spk=768, fusion=768
DEBUG CROSS_FUSION INIT: sem=768, pro=768
SIREN V8 VQ-VAE (autoresearch)
  config: /home/sperm/siren/SIREN/src/ultra_low_bitrate_codec/configs/ultra58bps_16k.yaml
  TIME_BUDGET: 300s (wall after step 10)
  train wavs: 5700, val wavs: 299
  device: cuda, amp=True, accum=1

step 00001 (0.0%) | loss: 20.9763 | dt: 50581ms | epoch: 0 | rem: 300s 
step 00002 (0.0%) | loss: 21.0816 | dt: 1072ms | epoch: 0 | rem: 300s 
step 00003 (0.0%) | loss: 20.7539 | dt: 860ms | epoch: 0 | rem: 300s 
step 00004 (0.0%) | loss: 20.6187 | dt: 846ms | epoch: 0 | rem: 300s 
step 00005 (0.0%) | loss: 20.4148 | dt: 840ms | epoch: 0 | rem: 300s 
step 00006 (0.0%) | loss: 20.4694 | dt: 834ms | epoch: 0 | rem: 300s 
step 00007 (0.0%) | loss: 20.6372 | dt: 847ms | epoch: 0 | rem: 300s 
step 00008 (0.0%) | loss: 20.5181 | dt: 854ms | epoch: 0 | rem: 300s 
step 00009 (0.0%) | loss: 20.5620 | dt: 851ms | epoch: 0 | rem: 300s 
step 00010 (0.0%) | loss: 20.6226 | dt: 833ms | epoch: 0 | rem: 300s 
step 00011 (0.0%) | loss: 20.3984 | dt: 839ms | epoch: 0 | rem: 300s 
step 00012 (0.3%) | loss: 20.3644 | dt: 872ms | epoch: 0 | rem: 299s 
step 00013 (0.6%) | loss: 20.3889 | dt: 870ms | epoch: 0 | rem: 298s 
step 00014 (0.9%) | loss: 20.5554 | dt: 856ms | epoch: 0 | rem: 297s 
step 00015 (1.1%) | loss: 20.5640 | dt: 836ms | epoch: 0 | rem: 297s 
step 00016 (1.4%) | loss: 20.4511 | dt: 851ms | epoch: 0 | rem: 296s 
step 00017 (1.7%) | loss: 20.2425 | dt: 871ms | epoch: 0 | rem: 295s 
step 00018 (2.0%) | loss: 19.9986 | dt: 878ms | epoch: 0 | rem: 294s 
step 00019 (2.3%) | loss: 19.7393 | dt: 857ms | epoch: 0 | rem: 293s 
step 00020 (2.6%) | loss: 19.4528 | dt: 845ms | epoch: 0 | rem: 292s 
step 00021 (2.9%) | loss: 19.1584 | dt: 869ms | epoch: 0 | rem: 291s 
step 00022 (3.2%) | loss: 18.8641 | dt: 879ms | epoch: 0 | rem: 291s 
step 00023 (3.4%) | loss: 18.5544 | dt: 837ms | epoch: 0 | rem: 290s 
step 00024 (3.7%) | loss: 18.3571 | dt: 846ms | epoch: 0 | rem: 289s 
step 00025 (4.0%) | loss: 18.2212 | dt: 858ms | epoch: 0 | rem: 288s 
step 00026 (4.3%) | loss: 17.9930 | dt: 862ms | epoch: 0 | rem: 287s 
step 00027 (4.6%) | loss: 17.8918 | dt: 871ms | epoch: 0 | rem: 286s 
step 00028 (4.9%) | loss: 17.7355 | dt: 837ms | epoch: 0 | rem: 285s 
step 00029 (5.1%) | loss: 17.6236 | dt: 841ms | epoch: 0 | rem: 285s 
step 00030 (5.4%) | loss: 17.5659 | dt: 861ms | epoch: 0 | rem: 284s 
step 00031 (5.7%) | loss: 17.5224 | dt: 860ms | epoch: 0 | rem: 283s 
step 00032 (6.0%) | loss: 17.6041 | dt: 875ms | epoch: 0 | rem: 282s 
step 00033 (6.3%) | loss: 17.6815 | dt: 864ms | epoch: 0 | rem: 281s 
step 00034 (6.6%) | loss: 17.6299 | dt: 832ms | epoch: 0 | rem: 280s 
step 00035 (6.9%) | loss: 17.6546 | dt: 851ms | epoch: 0 | rem: 279s 
step 00036 (7.1%) | loss: 17.6476 | dt: 846ms | epoch: 0 | rem: 279s 
step 00037 (7.4%) | loss: 17.6430 | dt: 852ms | epoch: 0 | rem: 278s 
step 00038 (7.7%) | loss: 17.6437 | dt: 852ms | epoch: 0 | rem: 277s 
step 00039 (8.0%) | loss: 17.6369 | dt: 825ms | epoch: 0 | rem: 276s 
step 00040 (8.3%) | loss: 17.5394 | dt: 853ms | epoch: 0 | rem: 275s 
step 00041 (8.5%) | loss: 17.4337 | dt: 838ms | epoch: 0 | rem: 274s 
step 00042 (8.8%) | loss: 17.2995 | dt: 846ms | epoch: 0 | rem: 274s 
step 00043 (9.1%) | loss: 17.1415 | dt: 828ms | epoch: 0 | rem: 273s 
step 00044 (9.4%) | loss: 17.0192 | dt: 842ms | epoch: 0 | rem: 272s 
step 00045 (9.7%) | loss: 16.9199 | dt: 825ms | epoch: 0 | rem: 271s 
step 00046 (9.9%) | loss: 16.8616 | dt: 831ms | epoch: 0 | rem: 270s 
step 00047 (10.2%) | loss: 16.7495 | dt: 847ms | epoch: 0 | rem: 269s 
step 00048 (10.5%) | loss: 16.7679 | dt: 818ms | epoch: 0 | rem: 269s 
step 00049 (10.8%) | loss: 16.8432 | dt: 834ms | epoch: 0 | rem: 268s 
step 00050 (11.1%) | loss: 17.0125 | dt: 842ms | epoch: 0 | rem: 267s 
step 00051 (11.3%) | loss: 17.0803 | dt: 843ms | epoch: 0 | rem: 266s 
