DEBUG DECODER CONFIG: dict_keys(['fusion_dim', 'cond_dim', 'fusion_heads', 'fusion_layers', 'dropout'])
DEBUG DIMS: sem=768, pro=768, spk=768, fusion=768
DEBUG CROSS_FUSION INIT: sem=768, pro=768
SIREN V8 VQ-VAE (autoresearch)
  config: /home/sperm/siren/SIREN/src/ultra_low_bitrate_codec/configs/ultra58bps_16k.yaml
  TIME_BUDGET: 300s (wall after step 10)
  train wavs: 5700, val wavs: 299
  device: cuda, amp=True, accum=1

step 00001 (0.0%) | loss: -15.4151 | dt: 49578ms | epoch: 0 | rem: 300s 
step 00002 (0.0%) | loss: -15.3147 | dt: 961ms | epoch: 0 | rem: 300s 
step 00003 (0.0%) | loss: -15.4994 | dt: 775ms | epoch: 0 | rem: 300s 
step 00004 (0.0%) | loss: -15.3687 | dt: 757ms | epoch: 0 | rem: 300s 
step 00005 (0.0%) | loss: -15.3826 | dt: 768ms | epoch: 0 | rem: 300s 
step 00006 (0.0%) | loss: -15.3262 | dt: 770ms | epoch: 0 | rem: 300s 
step 00007 (0.0%) | loss: -15.3611 | dt: 773ms | epoch: 0 | rem: 300s 
step 00008 (0.0%) | loss: -15.4377 | dt: 783ms | epoch: 0 | rem: 300s 
step 00009 (0.0%) | loss: -15.4095 | dt: 754ms | epoch: 0 | rem: 300s 
step 00010 (0.0%) | loss: -15.5278 | dt: 774ms | epoch: 0 | rem: 300s 
step 00011 (0.0%) | loss: -15.4436 | dt: 767ms | epoch: 0 | rem: 300s 
step 00012 (0.3%) | loss: -15.4674 | dt: 771ms | epoch: 0 | rem: 299s 
step 00013 (0.5%) | loss: -15.5385 | dt: 762ms | epoch: 0 | rem: 298s 
step 00014 (0.8%) | loss: -15.6344 | dt: 757ms | epoch: 0 | rem: 298s 
step 00015 (1.0%) | loss: -15.6727 | dt: 773ms | epoch: 0 | rem: 297s 
step 00016 (1.3%) | loss: -15.5408 | dt: 780ms | epoch: 0 | rem: 296s 
step 00017 (1.5%) | loss: -15.4624 | dt: 782ms | epoch: 0 | rem: 295s 
step 00018 (1.8%) | loss: -15.4265 | dt: 775ms | epoch: 0 | rem: 295s 
step 00019 (2.1%) | loss: -15.4138 | dt: 782ms | epoch: 0 | rem: 294s 
step 00020 (2.3%) | loss: -15.4456 | dt: 790ms | epoch: 0 | rem: 293s 
step 00021 (2.6%) | loss: -15.5927 | dt: 812ms | epoch: 0 | rem: 292s 
step 00022 (2.9%) | loss: -15.7957 | dt: 812ms | epoch: 0 | rem: 291s 
step 00023 (3.1%) | loss: -16.0043 | dt: 815ms | epoch: 0 | rem: 291s 
step 00024 (3.4%) | loss: -16.1723 | dt: 795ms | epoch: 0 | rem: 290s 
step 00025 (3.7%) | loss: -16.3424 | dt: 812ms | epoch: 0 | rem: 289s 
step 00026 (3.9%) | loss: -16.5164 | dt: 815ms | epoch: 0 | rem: 288s 
step 00027 (4.2%) | loss: -16.7353 | dt: 812ms | epoch: 0 | rem: 287s 
step 00028 (4.5%) | loss: -16.8979 | dt: 805ms | epoch: 0 | rem: 287s 
step 00029 (5.6%) | loss: -16.9763 | dt: 3431ms | epoch: 0 | rem: 283s 
step 00030 (5.9%) | loss: -17.1260 | dt: 825ms | epoch: 0 | rem: 282s 
step 00031 (6.2%) | loss: -17.3308 | dt: 836ms | epoch: 0 | rem: 281s 
step 00032 (6.5%) | loss: -17.4519 | dt: 824ms | epoch: 0 | rem: 281s 
step 00033 (6.7%) | loss: -17.5364 | dt: 837ms | epoch: 0 | rem: 280s 
step 00034 (7.0%) | loss: -17.6033 | dt: 830ms | epoch: 0 | rem: 279s 
step 00035 (7.3%) | loss: -17.6393 | dt: 833ms | epoch: 0 | rem: 278s 
step 00036 (7.6%) | loss: -17.6897 | dt: 829ms | epoch: 0 | rem: 277s 
step 00037 (7.8%) | loss: -17.8534 | dt: 832ms | epoch: 0 | rem: 276s 
step 00038 (8.1%) | loss: -17.9842 | dt: 810ms | epoch: 0 | rem: 276s 
step 00039 (8.4%) | loss: -18.1200 | dt: 822ms | epoch: 0 | rem: 275s 
step 00040 (8.6%) | loss: -18.2787 | dt: 779ms | epoch: 0 | rem: 274s 
step 00041 (8.9%) | loss: -18.4004 | dt: 796ms | epoch: 0 | rem: 273s 
step 00042 (9.2%) | loss: -18.5799 | dt: 769ms | epoch: 0 | rem: 272s 
step 00043 (9.4%) | loss: -18.7569 | dt: 771ms | epoch: 0 | rem: 272s 
step 00044 (9.7%) | loss: -18.8951 | dt: 776ms | epoch: 0 | rem: 271s 
step 00045 (9.9%) | loss: -19.0207 | dt: 782ms | epoch: 0 | rem: 270s 
step 00046 (10.2%) | loss: -19.1740 | dt: 781ms | epoch: 0 | rem: 269s 
step 00047 (10.5%) | loss: -19.2934 | dt: 762ms | epoch: 0 | rem: 269s 
step 00048 (10.7%) | loss: -19.3598 | dt: 779ms | epoch: 0 | rem: 268s 
step 00049 (11.0%) | loss: -19.4596 | dt: 778ms | epoch: 0 | rem: 267s 
step 00050 (11.2%) | loss: -19.5318 | dt: 782ms | epoch: 0 | rem: 266s 
step 00051 (11.5%) | loss: -19.6313 | dt: 778ms | epoch: 0 | rem: 266s 
step 00052 (11.8%) | loss: -19.6698 | dt: 761ms | epoch: 0 | rem: 265s 
step 00053 (12.0%) | loss: -19.7419 | dt: 782ms | epoch: 0 | rem: 264s 
